,Unnamed: 0,发布时间,城市,职位名称,公司名称,公司规模,公司类型,薪资,学历要求,技能要求,工作经验要求,评分,score,Cluster,X,Y
0,0,2023/5/9,0.11386861313868613,大数据分析师,上海颇柳信息科技有限公司,0.2857142857142857,0.0,15500,0.5,0.07692307692307693,1.0,5.6,4650.2869363118625,3,0.8277844,-2.3162546
1,1,2023/4/3,0.28175182481751826,高级数据分析师,上海衍梓智能科技有限公司,0.2857142857142857,0.0,15000,0.25,0.38461538461538464,0.4,6.1,4500.2019938638,0,0.8450943,-0.16432413
2,2,2023/3/27,0.14744525547445256,资深数据分析师,国泰财产保险有限责任公司,0.7142857142857143,0.25,31500,0.25,0.0,1.0,6.65,9450.359387382692,3,-0.94799507,-2.0331128
3,3,2023/8/29,0.05547445255474453,EHS数据分析师,蔚来汽车,1.0,1.0,25000,0.25,0.0,0.0,8.4,7500.268047445255,2,-1.777704,-0.08650633
4,4,2023/8/14,0.28175182481751826,数据分析师,上海衍梓智能科技有限公司,0.2857142857142857,0.0,5250,0.25,0.38461538461538464,0.8,5.5,1575.2819938638006,0,0.889259,-0.64882237
5,5,2023/4/10,0.6875912408759124,数据分析工程师,上海交银信息数据有限公司,0.8571428571428571,0.5,15000,0.25,0.15384615384615385,1.0,6.8,4500.475215168043,2,-0.7931733,-1.030674
6,6,2023/4/1,0.6875912408759124,数据分析工程师,上海华讯网络系统有限公司,0.8571428571428571,0.5,22500,0.25,0.23076923076923078,1.0,6.75,6750.482907475735,3,-0.7354777,-1.2027296
7,7,2023/5/24,0.28175182481751826,数据分析师,南京飞勒克工业设备有限公司,0.42857142857142855,0.75,12500,0.25,0.15384615384615385,0.4,6.7,3750.2753455121515,2,-0.8333771,-0.23523256
8,8,2023/3/26,0.09927007299270073,初级数据分析师,北京笃信科技有限公司,0.2857142857142857,0.0,4650,0.5,0.07692307692307693,1.0,5.5,1395.2854764578487,3,0.82815146,-2.1315885
9,9,2023/5/13,0.03941605839416058,金融数据分析师,上海汇正财经顾问有限公司,0.7142857142857143,0.0,16000,0.25,0.15384615384615385,0.4,6.7,4800.218969078367,0,0.29631457,-0.121310554
10,10,2023/2/23,0.18686131386861313,数据挖掘分析师,阿伽科技(上海)有限公司,0.14285714285714285,0.0,4750,0.25,0.6153846153846154,0.6,5.75,1425.2341531643538,0,1.0463179,-0.5080908
11,11,2023/3/24,0.14744525547445256,数据分析师,上海比孚信息科技有限公司,0.42857142857142855,0.0,4650,0.25,0.23076923076923078,0.4,6.4,1395.19460716291,0,0.7410649,-0.39257202
12,12,2023/6/5,0.09927007299270073,电商数据分析师,上海依拓纺织有限公司,0.5714285714285714,0.75,12500,0.5,0.07692307692307693,0.2,6.95,3750.2433336007057,2,-1.1115167,-0.2741649
13,13,2023/7/14,0.6875912408759124,数据分析师,中讯志远(武汉)科技有限公司,0.42857142857142855,0.0,12500,0.5,0.23076923076923078,0.4,6.3,3750.2611217614503,0,0.68030334,0.5148874
14,14,2023/8/15,0.14744525547445256,数据分析工程师,四川清音网络科技有限公司,0.7142857142857143,0.0,16000,0.25,0.0,0.4,6.65,4800.21438738269,0,0.32049355,-0.16137263
15,15,2023/2/15,0.14744525547445256,数据分析师,上海比孚信息科技有限公司,0.42857142857142855,0.0,4650,0.25,0.07692307692307693,1.0,6.0,1395.2992225475255,3,0.55291545,-0.93671376
16,16,2023/5/26,0.09927007299270073,数据分析师,春秋航空,0.8571428571428571,1.0,17500,0.25,0.07692307692307693,0.2,7.55,5250.298690743563,2,-2.018188,-0.18214688
17,17,2023/8/1,0.18686131386861313,数据分析师,华硕电脑（上海）有限公司,0.8571428571428571,0.75,3500,0.25,0.0,1.0,6.9,1050.4347575599584,2,-1.2124913,-0.7682305
18,18,2023/4/11,0.6875912408759124,数据建模分析师,上海数治数据科技有限公司,0.2857142857142857,0.0,14000,0.0,0.38461538461538464,1.0,5.8,4200.350077805407,3,0.9215864,-0.9760088
19,19,2023/6/8,0.28175182481751826,数据分析师,上海东证期货有限公司,0.7142857142857143,0.5,15000,0.0,0.0,1.0,6.6,4500.3853180396245,2,-0.9206505,-1.015288
20,20,2023/8/22,0.14744525547445256,数据分析工程师,四川清音网络科技有限公司,0.7142857142857143,0.0,13000,0.25,0.0,0.6,6.5,3900.25438738269,0,0.33524147,-0.47448024
21,21,2023/5/12,0.19124087591240876,数据分析师,科华生物,0.8571428571428571,1.0,4750,0.25,0.07692307692307693,0.2,7.6,1425.3078878238548,2,-2.0701694,-0.30336466
22,22,2023/7/16,0.19124087591240876,数据分析师,北京惠安中盈科技有限公司,0.2857142857142857,0.0,28500,0.25,0.07692307692307693,0.0,6.95,8550.082173538141,0,0.6112678,-0.001425527
23,23,2023/7/13,0.14744525547445256,PowerBI数据分析师,电声股份,0.8571428571428571,0.25,12500,0.5,0.0,0.4,7.0,3750.273315954119,2,-0.9275532,-0.29019055
24,24,2023/8/18,0.6875912408759124,数据分析师-金融方向,智联猎头,0.8571428571428571,1.0,20000,0.25,0.07692307692307693,0.0,7.95,6000.317522860351,2,-1.8115773,0.3900588
25,25,2023/6/17,0.09927007299270073,数据分析师,拼多多,0.8571428571428571,0.0,45000,0.25,0.0,1.0,7.15,13500.350998435872,3,-0.84741485,-3.489985
26,26,2023/5/22,0.19124087591240876,上市公司招数据分析师,上海链家地产,1.0,0.0,4750,0.25,0.5384615384615384,1.0,6.75,1425.4354702414375,3,-0.19135943,-0.8380814
27,27,2023/8/18,0.28175182481751826,商业数据分析师,信也科技中国,0.8571428571428571,0.0,25000,0.25,0.3076923076923077,0.2,7.45,7500.240015841821,0,0.04626137,-0.04719033
28,28,2023/4/16,0.6875912408759124,数据运营/数据分析师,上海雷神咨询有限公司,0.42857142857142855,0.75,4550,0.5,0.0,0.4,6.6,1365.3130448383733,2,-1.049562,0.57220036
29,29,2023/5/15,0.28175182481751826,初级数据分析师,特朗思大宇宙,0.8571428571428571,0.75,4500,0.25,0.6153846153846154,0.4,7.3,1350.3857850725917,0,-0.39048412,-0.45114133
30,31,2023/2/27,0.6875912408759124,数据分析师,云竞(上海)电子科技有限公司,0.7142857142857143,0.0,19000,0.25,0.23076923076923078,0.2,6.9,5700.251478904307,0,0.250461,0.4076173
31,32,2023/7/12,0.09927007299270073,数据分析师,深圳市申河信息科技有限公司,0.2857142857142857,0.0,4700,0.25,0.3076923076923077,0.4,6.1,1410.1760533809256,0,0.80551517,-0.3918725
32,33,2023/7/13,0.28175182481751826,数据分析师,上海挖豆信息科技有限公司,0.14285714285714285,0.0,15000,1.0,0.07692307692307693,1.0,4.85,4500.307296061602,1,1.1095175,-5.027064
33,35,2023/5/17,0.28175182481751826,数据分析师,拼多多,0.8571428571428571,0.0,45000,0.25,0.07692307692307693,1.0,7.15,13500.376938918747,3,-0.8435544,-3.3932908
34,36,2023/3/2,0.6875912408759124,风控数据分析师,康嘉信息,0.2857142857142857,0.0,25000,0.25,0.07692307692307693,0.2,6.55,7500.171808574637,0,0.5730299,0.3642771
35,37,2023/6/28,0.6875912408759124,数据分析师,中联惠捷信息技术有限公司,0.7142857142857143,0.0,4800,0.25,0.38461538461538464,0.4,6.7,1440.306863519692,0,0.33134827,0.52757066
36,38,2023/7/13,0.19124087591240876,数据分析师-上海,零氪信息技术(北京)有限公司,0.8571428571428571,0.0,15000,0.0,0.3076923076923077,1.0,6.7,4500.378464746931,3,0.05111596,-1.028649
37,39,2023/3/11,0.14744525547445256,数据分析工程师-项目管理方向,四川清音网络科技有限公司,0.7142857142857143,0.0,16000,0.25,0.0,0.4,6.65,4800.21438738269,0,0.32049355,-0.16137263
38,40,2023/3/23,0.04817518248175182,数据分析工程师,上海孟伯智能物联网科技有限公司,0.42857142857142855,0.0,16000,0.25,0.07692307692307693,0.2,6.6,4800.129295540226,0,0.4898769,-0.14191028
39,41,2023/5/21,0.03941605839416058,数据分析工程师,亚信科技,1.0,0.0,5100,0.25,0.0,0.4,7.15,1530.2464416058394,0,0.23730132,-0.383576
40,42,2023/3/5,0.14744525547445256,数据分析工程师,四川清音网络科技有限公司,0.7142857142857143,0.0,13000,0.25,0.0,0.4,6.7,3900.21438738269,0,0.32354543,-0.19165298
41,43,2023/4/9,0.14744525547445256,数据分析工程师,四川兰博利科技有限公司,0.42857142857142855,0.0,13000,0.25,0.0,0.4,6.4,3900.171530239833,0,0.4924343,-0.18229982
42,44,2023/8/3,0.18686131386861313,高级数据分析师,乖宝宠物食品集团股份有限公司,0.8571428571428571,0.0,20000,0.25,0.15384615384615385,0.2,7.25,6000.215142175342,0,0.1803456,-0.101529084
43,45,2023/8/1,0.6875912408759124,数据分析师,上海陆杰电子科技有限公司,0.42857142857142855,0.0,12500,0.25,0.0,0.2,6.6,3750.185544838373,0,0.44763955,0.4590493
44,46,2023/7/2,0.18686131386861313,数据分析师,圣都家居装饰有限公司,1.0,1.0,17500,0.25,0.15384615384615385,0.2,7.7,5250.336570746771,2,-2.1477938,-0.17763028
45,47,2023/5/2,0.09927007299270073,金融数据分析师,中诚信国际信用评级有限责任公司,0.7142857142857143,0.25,6000,0.25,0.0,0.8,6.2,1800.3145698644423,2,-0.7358836,-0.6425479
46,48,2023/3/30,0.6875912408759124,数据分析师,中移(上海)信息通信科技有限公司,0.8571428571428571,0.5,5000,0.25,0.0,0.0,7.8,1500.259830552659,2,-0.9957955,0.504016
47,49,2023/2/23,0.6875912408759124,数据策略分析师,苏州美纳仕网络科技有限公司,0.14285714285714285,0.0,22500,0.25,0.3076923076923077,0.2,6.4,6750.173456926284,0,0.75332725,0.37243438
48,50,2023/3/30,0.040875912408759124,IT服务数据分析师,德科信息有限公司,0.8571428571428571,0.0,13000,0.25,0.15384615384615385,0.4,7.0,3900.2405436351964,0,0.18385768,-0.22542343
49,51,2023/5/1,0.28175182481751826,数据分析师,立信会计师事务所（特殊普通合伙）,0.8571428571428571,0.0,5100,0.25,0.23076923076923078,0.4,7.0,1530.27232353413,0,0.1353339,-0.43759915
50,52,2023/6/17,0.09927007299270073,数据分析师,深圳市申河信息科技有限公司,0.2857142857142857,0.0,4700,0.25,0.3076923076923077,0.4,6.1,1410.1760533809256,0,0.80551517,-0.3918725
51,53,2023/5/29,0.14744525547445256,人力数据分析师,上海我爱我家,1.0,1.0,11500,0.25,0.3076923076923077,1.0,7.15,3450.5080137563164,2,-2.595434,-0.94421965
52,54,2023/5/18,0.11386861313868613,数据分析师,上海虹迪物流科技有限公司,0.7142857142857143,0.0,13500,0.25,0.15384615384615385,1.0,6.3,4050.3464143338406,3,0.3425466,-1.1006919
