Unnamed: 0,城市,职位名称,公司名称,公司规模,公司类型,薪资,学历要求,技能要求,工作经验要求,评分
0,上海-静安,大数据分析师,上海颇柳信息科技有限公司,20-99人,民营,1.3万-1.8万,大专,教育培训 医疗健康 ,不限,5.6
1,上海,高级数据分析师,上海衍梓智能科技有限公司,20-99人,民营,1万-2万,本科,商业分析 数据挖掘 Python 数据建模 机器学习 商业智能 ,1-3年,6.1
2,上海-杨浦,资深数据分析师,国泰财产保险有限责任公司,500-999人,合资,2.8万-3.5万,本科,风控数据分析 ,不限,6.65
3,上海-嘉定,EHS数据分析师,蔚来汽车,10000人以上,上市公司,2万-3万,本科,运营数据分析 ,5-10年,8.4
4,上海,数据分析师,上海衍梓智能科技有限公司,20-99人,民营,150-200/天,本科,商业分析 商务智能 机器学习 Python 项目管理 数据建模 ,无经验,5.5
5,上海-浦东,数据分析工程师,上海交银信息数据有限公司,1000-9999人,国企,1万-2万,本科,数据分析 SQL Python ,不限,6.8
6,上海-浦东,数据分析工程师,上海华讯网络系统有限公司,1000-9999人,国企,1.5万-3万,本科,数据分析 数据建模 大数据平台 数据仓库 ,不限,6.75
7,上海,数据分析师,南京飞勒克工业设备有限公司,100-299人,外商独资,1万-1.5万,本科,数据统计分析 Python SQL ,1-3年,6.7
8,上海-黄浦,初级数据分析师,北京笃信科技有限公司,20-99人,其它,8千-1.3万,大专,SQL excel ,不限,5.5
9,上海-普陀,金融数据分析师,上海汇正财经顾问有限公司,500-999人,民营,1.2万-2万,本科,SQL Python 金融数据分析 ,1-3年,6.7
10,上海-闵行,数据挖掘分析师,阿伽科技(上海)有限公司,20人以下,民营,8千-1.5万,本科,Python 关联分析 多元统计分析 因子分析 机器学习 回归算法 分类算法 商业数据分析 销售数据分析 ,1年以下,5.75
11,上海-杨浦,数据分析师,上海比孚信息科技有限公司,100-299人,民营,8千-1.3万,本科,Python R语言 SQL excel ,1-3年,6.4
12,上海-长宁,电商数据分析师,上海依拓纺织有限公司,300-499人,外商独资,1万-1.5万,大专,商业数据分析 行业分析 ,3-5年,6.95
13,上海-浦东,数据分析师,中讯志远(武汉)科技有限公司,100-299人,民营,1万-1.5万,大专,数据分析 SQL Oracle MySQL ,1-3年,6.3
14,上海-杨浦,数据分析工程师,四川清音网络科技有限公司,500-999人,民营,1.5万-1.7万,本科,Python ,1-3年,6.65
15,上海-杨浦,数据分析师,上海比孚信息科技有限公司,100-299人,民营,8千-1.3万,本科,商业数据分析 销售数据分析 ,不限,6.0
